SalePrice,Bedrooms,Baths,LotArea,LivingArea,GarageArea,Neighborhood,HouseStyle,YearBuilt,YearSold
215000,3,1,31770,1656,528,N Ames,1-Story,1960,2010
124500,2,1,13008,882,502,N Ames,1-Story,1956,2009
105000,2,1,11622,896,730,N Ames,1-Story,1961,2010
172000,3,1,14267,1329,312,N Ames,1-Story,1958,2010
176500,3,1,11029,1414,601,N Ames,1-Story,1958,2008
157000,4,2,10200,1434,528,N Ames,1-Story,1974,2009
244000,3,2,11160,2110,522,N Ames,1-Story,1968,2010
237500,4,2,12925,2117,550,N Ames,1-Story,1970,2008
206900,4,2,11075,2112,576,N Ames,2-Story,1969,2008
345000,4,2,13860,2704,538,N Ames,S/Level,1972,2009
148000,2,1,4693,1407,429,Blmngtn,2-Story,2000,2009
147000,2,1,4693,1363,429,Blmngtn,2-Story,2000,2010
149900,2,1,4693,1407,429,Blmngtn,2-Story,2000,2009
146000,2,1,4693,1055,439,Blmngtn,1-Story,1999,2008
140000,1,1,4693,1363,429,Blmngtn,2-Story,1999,2009
148900,2,1,4693,1407,429,Blmngtn,2-Story,1999,2010
124000,2,1,4693,1258,419,Blmngtn,2-Story,1997,2008
114500,2,1,4693,1214,224,Blmngtn,2-Story,1997,2009
127000,2,1,4693,1258,419,Blmngtn,2-Story,1998,2010
110500,2,1,4693,1214,224,Blmngtn,2-Story,1998,2008
113500,2,1,4693,1214,224,Blmngtn,2-Story,1998,2008
126500,2,1,4693,1258,419,Blmngtn,2-Story,1998,2008
125200,2,1,4693,1258,419,Blmngtn,2-Story,1997,2008
189900,3,2,13830,1629,482,Gilbert,2-Story,1997,2010
195500,3,2,9978,1604,470,Gilbert,2-Story,1998,2010
187500,3,2,8702,1604,470,Gilbert,2-Story,1997,2008
189500,3,2,10179,1608,470,Gilbert,2-Story,1997,2009
270000,4,2,11792,2283,632,Gilbert,2-Story,2003,2009
165000,3,2,8139,1470,420,Gilbert,2-Story,1995,2008
195500,3,2,9535,1604,472,Gilbert,2-Story,1998,2008
192000,3,2,9042,1638,472,Gilbert,2-Story,1998,2008
173000,3,2,15038,1636,386,Gilbert,2-Story,1996,2008
177900,3,2,14137,1384,404,Gilbert,1-Story,1996,2008
189000,3,2,8400,1628,390,Gilbert,S/Level,1996,2009
175000,3,2,21872,1446,406,Gilbert,2-Story,1996,2008
377500,3,2,14892,1746,758,Gilbert,1-Story,2006,2009
168500,3,2,8530,1474,400,Gilbert,S/Level,1995,2009
180000,3,2,8753,1661,430,Gilbert,2-Story,1994,2010
375000,1,2,7296,2522,564,StoneBr,1-Story,2004,2009
286000,0,1,4923,1593,682,StoneBr,1-Story,2001,2008
213500,2,2,4920,1338,582,StoneBr,1-Story,2001,2010
278000,2,2,5664,1659,499,StoneBr,1-Story,2000,2009
247900,1,1,6264,1682,528,StoneBr,1-Story,1997,2008
240000,2,2,7380,1478,495,StoneBr,1-Story,1998,2009
180000,2,2,5395,1337,462,StoneBr,1-Story,1993,2008
191500,2,2,5005,1280,506,StoneBr,1-Story,1992,2010
180000,2,2,5070,1280,506,StoneBr,1-Story,1992,2008
239500,2,2,8013,1734,528,StoneBr,1-Story,1995,2009
