"carat","cut","color","clarity","depth","table","price","x","y","z"
1.74,"Premium","G","VS2",61,58,17614,7.77,7.75,4.73
0.81,"Ideal","G","VS1",61.6,56,3923,5.99,6.02,3.7
0.56,"Ideal","G","IF",61.8,54,2298,5.31,5.33,3.29
1.6,"Very Good","I","VS1",62.3,59,10238,7.46,7.51,4.66
0.93,"Premium","G","SI2",60.8,59,3594,6.35,6.28,3.84
0.4,"Premium","H","SI1",62.8,59,855,4.69,4.67,2.94
0.25,"Premium","F","VVS2",62,59,740,4.04,3.99,2.49
1.5,"Fair","H","VS1",64.8,55,8044,7.25,7.2,4.68
0.34,"Premium","G","VS2",60.3,58,765,4.53,4.49,2.72
0.83,"Ideal","E","SI1",62.7,57,3231,5.96,6.01,3.75
0.42,"Premium","G","VS2",60.1,61,1087,4.84,4.81,2.9
1,"Premium","G","VS2",61.6,58,5940,6.39,6.43,3.95
2.02,"Premium","G","SI2",63,59,15014,8.05,7.95,5.03
0.31,"Ideal","E","IF",61.8,54,1214,4.36,4.38,2.7
1.51,"Good","I","VS2",62.2,59,8951,7.19,7.3,4.51
0.51,"Very Good","F","VVS1",62.6,57,2223,5.06,5.1,3.18
0.76,"Ideal","E","SI2",62.8,56,2873,5.78,5.82,3.64
0.7,"Ideal","G","VS1",62.7,57,2437,5.66,5.7,3.56
1.08,"Ideal","H","SI1",62.8,57,4964,6.55,6.51,4.1
0.3,"Ideal","G","VVS1",61.3,56,1013,4.34,4.3,2.65
0.5,"Very Good","E","VVS2",62.6,59,2105,5.02,5.05,3.15
0.27,"Ideal","F","VS2",61.8,53,583,4.18,4.2,2.59
4.13,"Fair","H","I1",64.8,61,17329,10,9.85,6.43
1.13,"Ideal","E","SI1",62.2,55,6563,6.66,6.69,4.15
0.98,"Premium","H","I1",59.6,60,2046,6.61,6.48,3.89
1.23,"Ideal","I","SI1",62.1,58,5600,6.82,6.86,4.25
0.31,"Ideal","I","SI1",62.2,56,418,4.34,4.37,2.71
0.72,"Good","I","VS1",61.8,61,2048,5.67,5.72,3.53
1.11,"Premium","G","VS2",61.5,58,7055,6.69,6.62,4.09
0.51,"Very Good","E","SI1",59.4,57,1284,5.2,5.24,3.1
0.41,"Premium","H","SI1",60.5,58,683,4.81,4.85,2.92
0.52,"Ideal","E","VVS2",61.9,55,2371,5.15,5.19,3.2
0.34,"Ideal","F","IF",60.7,57,1074,4.5,4.53,2.74
1.2,"Ideal","H","SI2",61.1,57,4368,6.9,6.81,4.19
0.41,"Premium","G","VS1",60.2,59,899,4.79,4.84,2.9
0.54,"Ideal","I","VVS1",62.7,57,1564,5.14,5.22,3.25
0.52,"Ideal","F","VS1",62.1,56,1767,5.14,5.2,3.2
0.38,"Good","D","VVS1",61.3,61,1159,4.68,4.72,2.88
1,"Premium","E","SI2",61.1,58,4620,6.44,6.48,3.95
1.01,"Very Good","F","VVS2",59.8,58,8212,6.47,6.55,3.89
0.53,"Very Good","G","SI1",63.4,54,1161,5.09,5.13,3.24
0.42,"Ideal","G","VS1",61.8,56,921,4.8,4.84,2.98
0.38,"Premium","H","VVS2",62,58,833,4.62,4.64,2.87
0.32,"Ideal","H","SI2",60.9,56,434,4.41,4.45,2.7
1.53,"Premium","F","VS1",60.3,58,15217,7.51,7.48,4.52
0.23,"Premium","D","VVS2",60.4,59,680,4,3.95,2.4
0.41,"Ideal","F","VS2",61.8,56,863,4.78,4.8,2.96
1.24,"Premium","D","SI1",59.3,60,6319,7.05,7.01,4.16
0.7,"Ideal","E","VS2",61.7,55,3612,5.7,5.74,3.53
0.44,"Ideal","H","IF",61.4,55,1177,4.92,4.95,3.03
1.2,"Premium","I","VVS2",63,60,5376,6.71,6.63,4.2
1.01,"Very Good","F","SI2",62.7,59,4416,6.35,6.4,4
0.4,"Ideal","H","VVS2",62.4,57,1125,4.73,4.69,2.94
0.9,"Very Good","H","VS2",62.6,57,4662,6.11,6.09,3.82
0.9,"Good","E","SI1",63.8,56,3449,6.17,6.09,3.91
1.2,"Ideal","D","VVS2",62.7,56,13165,6.78,6.81,4.26
0.34,"Premium","D","VS2",60.4,60,805,4.51,4.56,2.74
1.27,"Premium","E","VS2",61.2,59,9086,7.02,6.97,4.28
1.53,"Very Good","J","VS1",59.5,60,7677,7.55,7.65,4.52
0.82,"Very Good","I","SI1",60.5,58,2602,6.01,6.08,3.66
1,"Ideal","F","SI2",62.3,56,3696,6.34,6.27,3.93
0.42,"Ideal","G","VVS2",62.1,57,1103,4.8,4.77,2.97
