"Name","Team","Salary"
"Peyton Manning","Denver",17500000
"Ryan Clady","Denver",12600000
"Champ Bailey","Denver",10750000
"Von Miller","Denver",4921215
"Wes Welker","Denver",4150000
"Jacob Tamme","Denver",3458333
"Joel Dreessen","Denver",3333333
"Matt Prater","Denver",3312500
"Knowshon Moreno","Denver",3287000
"Wesley Woodyard","Denver",3250000
"Louis Vasquez","Denver",3250000
"Dominique Rodgers-Cromartie","Denver",2900000
"Demaryius Thomas","Denver",2430250
"Robert Ayers","Denver",2241250
"Chris Kuper","Denver",2008916
"Britton Colquitt","Denver",2e+06
"Mike Adams","Denver",2e+06
"Chris Clark","Denver",1548666
"Paris Lenon","Denver",1540000
"J.D. Walton","Denver",1522625
"Eric Decker","Denver",1506037
"Kevin Vickerson","Denver",1500000
"Quentin Jammer","Denver",1500000
"Shaun Phillips","Denver",1400000
"Sylvester Williams","Denver",1378500
"Terrance Knighton","Denver",1250000
"Rahim Moore","Denver",1213125
"Stewart Bradley","Denver",1200000
"David Bruton","Denver",1200000
"Orlando Franklin","Denver",1188000
"Zane Beadles","Denver",1060000
"Derek Wolfe","Denver",1036691
"Dan Koppen","Denver",1015000
"Manuel Ramirez","Denver",981666
"Andre Caldwell","Denver",9e+05
"Brock Osweiler","Denver",799244
"Winston Justice","Denver",741176
"Nate Irving","Denver",728750
"Tony Carter","Denver",715000
"Ronnie Hillman","Denver",687708
"Quinton Carter","Denver",668750
"Julius Thomas","Denver",651000
"Montee Ball","Denver",629878
"Omar Bolden","Denver",598607
"Virgil Green","Denver",572250
"Chris Harris","Denver",555668
"Mitch Unrein","Denver",555000
"Steve Vallos","Denver",555000
"Kayvon Webster","Denver",539950
"Malik Jackson","Denver",533403
"Danny Trevathan","Denver",506018
"Steven Johnson","Denver",484000
"Aaron Brewer","Denver",481333
"Trindon Holliday","Denver",480000
"Duke Ihenacho","Denver",480000
"Zac Dysert","Denver",417050
"C.J. Anderson","Denver",409166
"Quanterus Smith","Denver",336000
"Lerentee McCray","Denver",293833
"Zach Miller","Seattle",1.1e+07
"Sidney Rice","Seattle",9700000
"Russell Okung","Seattle",9540000
"Marshawn Lynch","Seattle",8500000
"Chris Clemons","Seattle",8166667
"Red Bryant","Seattle",7600000
"Max Unger","Seattle",6e+06
"Brandon Mebane","Seattle",5200000
"Percy Harvin","Seattle",4900000
"Michael Bennett","Seattle",4800000
"Breno Giacomini","Seattle",4250000
"Kam Chancellor","Seattle",3878402
"Cliff Avril","Seattle",3750000
"Earl Thomas","Seattle",3500000
"Paul McQuistan","Seattle",3375000
"James Carpenter","Seattle",2084046
"Bruce Irvin","Seattle",1931528
"Heath Farwell","Seattle",1666667
"Jon Ryan","Seattle",1405000
"Bobby Wagner","Seattle",979045
"Golden Tate","Seattle",880000
"Chris Maragos","Seattle",855000
"Tarvaris Jackson","Seattle",840000
"Brandon Browner","Seattle",773756
"Clint Gresham","Seattle",767500
"Walter Thurmond","Seattle",755875
"Russell Wilson","Seattle",681085
"K.J. Wright","Seattle",676500
"Kellen Davis","Seattle",672941
"Anthony McCoy","Seattle",656212
"O’Brien Schofield","Seattle",630000
"Steven Hauschka","Seattle",620000
"Christine Michael","Seattle",613533
"Tony McDaniel","Seattle",605000
"Richard Sherman","Seattle",600606
"Robert Turbin","Seattle",594114
"Clinton McDonald","Seattle",592941
"Byron Maxwell","Seattle",583363
"Malcolm Smith","Seattle",566475
"Doug Baldwin","Seattle",560833
"Jeron Johnson","Seattle",560000
"Michael Morgan","Seattle",555000
"Lemuel Jeanpierre","Seattle",555000
"Jordan Hill","Seattle",541035
"Jeremy Lane","Seattle",511279
"J.R. Sweezy","Seattle",494212
"Greg Scruggs","Seattle",492358
"Jermaine Kearse","Seattle",480000
"Tharold Simon","Seattle",456725
"Luke Willson","Seattle",449633
"Michael Bowie","Seattle",416474
"Alvin Bailey","Seattle",407000
"Benson Mayowa","Seattle",405000
"Derrick Coleman","Seattle",405000
"Spencer Ware","Seattle",360535
"Jesse Williams","Seattle",340763
"Caylin Hauptmann","Seattle",333529
"Michael Robinson","Seattle",326470
"Korey Toomer","Seattle",298059
"Kenneth Boatright","Seattle",292166
"Chandler Fenner","Seattle",288000
"Ricardo Lockette","Seattle",254117
