Spec,Day,Month,Sex,Color,Wgt,Length.NSW,Length.QLD,Locat,RClaw,LClaw
1,22,6,1,9,620,10,15,1,9,9
1,23,6,1,9,460,9,12,1,9,9
1,24,6,1,1,740,11,16,2,9,9
1,24,6,1,1,770,11,17,2,9,9
1,25,6,1,2,820,11.7,16.5,3,9,9
1,25,6,1,1,380,9.5,13,3,9,9
1,25,6,1,2,870,12.5,16.7,2,9,9
1,26,6,1,1,300,8.5,12,2,9,9
1,26,6,1,1,700,11.7,16,2,9,9
1,26,6,1,1,530,10.5,14.5,2,9,9
1,26,6,1,1,400,9,13,2,9,9
1,27,6,1,3,230,8,10.8,4,9,9
1,27,6,1,3,300,8.7,10.6,4,9,9
1,29,6,1,2,520,11,15,5,9,9
1,1,7,1,2,520,10,14,5,9,9
1,2,7,1,2,400,9.5,13,5,9,9
1,5,7,1,2,440,9.7,13.5,1,3.5,3.2
1,5,7,1,2,220,7.4,10.5,4,9,9
1,5,7,1,2,940,12.2,17.5,4,5.2,4.5
1,8,7,1,2,240,7.8,10.8,4,2.8,3.1
1,11,7,1,1,580,10.6,14.4,3,3.5,3.7
1,5,8,1,1,950,13.3,17.9,1,4.7,4.3
1,7,8,1,1,640,11,15,1,4.5,4.3
1,14,8,1,1,640,11.8,16.4,4,4.0,3.8
1,19,8,1,1,580,10.5,14.7,1,3.8,3.5
1,26,8,1,1,480,10.5,14.0,2,4.0,3.4
1,11,9,1,9,1020,13.5,18.2,4,5.1,4.5
1,23,6,2,9,850,11,16,6,9,9
1,24,6,2,4,730,11,15.4,6,9,9
1,24,6,2,1,640,9.5,14,2,9,9
1,26,6,2,3,1150,12.2,17,6,9,9
1,27,6,2,9,470,9.5,13.7,3,9,9
1,28,6,2,3,1010,11,16,5,9,9
1,29,6,2,3,190,7,10.7,5,9,9
1,30,6,2,2,940,11.5,15.5,5,9,9
1,30,6,2,2,760,10.8,15.3,5,9,9
1,1,7,2,1,280,7.7,10.2,2,9,9
1,5,7,2,2,530,10.3,14.7,4,3.1,3.7
1,7,7,2,2,480,9.3,13.4,4,4.2,3.9
1,8,7,2,4,920,10.7,16,6,5.6,5.4
1,11,7,2,2,480,9.3,13,3,3.8,4.2
1,20,7,2,1,750,10.4,14,4,5.0,5.6
1,8,8,2,1,1100,11.9,16.5,5,6.3,5.8
1,14,8,2,2,840,10.8,15.2,5,6.0,5.8
1,15,8,2,2,560,9.5,13.5,5,4.6,4.3
1,16,8,2,2,460,9.1,13,5,3.9,3.5
1,19,8,2,2,380,8.5,12.8,1,3.9,3.4
1,20,8,2,1,850,10.5,15.5,4,5.1,5.2
1,29,8,2,1,860,11,14.9,3,5.4,5.6
1,11,9,2,5,1180,11.9,16.5,4,7.3,6.4
1,11,9,2,9,800,11,14.8,4,5.0,5.1
1,12,9,2,1,380,8.6,12.2,3,3.6,3.7
2,28,6,1,9,180,7,13,4,9,9
2,8,8,1,9,210,7.3,14.5,4,9,9
2,8,8,1,9,182,7.3,13.1,1,9,9
2,11,9,1,9,240,7.9,14.8,4,9,9
2,8,8,2,9,168,6.5,13.3,4,9,9
2,14,8,2,9,218,7.0,13.5,4,9,9
2,11,9,2,9,250,7.5,14.1,4,9,9
2,12,9,2,9,200,7,13,4,9,9
2,12,9,2,9,180,6.5,12.5,4,9,9
2,12,9,2,9,200,6.8,14,4,9,9
