SalePrice,Bedrooms,Baths,LotArea,LivingArea,GarageArea,Neighborhood,HouseStyle,YearBuilt,YearSold
240900,3,2,7000,1884,581,Somerst,2-Story,2003,2009
220000,3,2,7500,1874,588,Somerst,2-Story,2000,2009
235000,3,2,8470,1811,565,Somerst,2-Story,2002,2009
216000,3,2,7500,1674,663,Somerst,2-Story,2000,2010
214000,4,2,14598,1933,668,Somerst,2-Story,2007,2008
232000,3,2,11957,1574,824,Somerst,1-Story,2006,2008
240000,3,2,13253,1578,642,Somerst,1-Story,2006,2008
275000,3,2,11194,1696,972,Somerst,1-Story,2008,2009
245000,3,2,10206,1563,758,Somerst,1-Story,2007,2008
257500,3,2,10206,1658,726,Somerst,1-Story,2008,2009
257000,3,3,9801,1861,851,Somerst,2-Story,2007,2008
275500,3,2,10130,1702,844,Somerst,1-Story,2007,2009
247000,3,2,10037,1460,480,Somerst,1-Story,2006,2008
245000,3,2,9139,1432,492,Somerst,1-Story,2006,2009
253000,3,2,9675,1971,689,Somerst,2-Story,2005,2009
468000,2,2,11128,2490,795,Somerst,1-Story,2005,2009
221500,2,2,8987,1595,880,Somerst,1-Story,2005,2010
210000,3,2,9000,1590,676,Somerst,2-Story,2008,2009
229800,3,2,8640,1402,625,Somerst,1-Story,2008,2009
215200,3,2,8640,1547,614,Somerst,2-Story,2009,2010
235000,3,2,8640,1798,590,Somerst,2-Story,2007,2010
262500,3,2,9000,1566,750,Somerst,1-Story,2008,2010
247500,3,2,9000,1959,1025,Somerst,2-Story,2006,2010
250000,3,2,12606,1530,984,Somerst,1-Story,2007,2009
238500,2,2,7500,1448,692,Somerst,1-Story,2006,2009
226700,3,2,9803,1768,603,Somerst,2-Story,2005,2008
310000,3,2,11003,2007,812,Somerst,1-Story,2008,2009
270000,3,2,10603,1795,782,Somerst,2-Story,2006,2009
254900,3,2,12552,1947,678,Somerst,2-Story,2004,2010
250000,3,2,9375,1992,648,Somerst,2-Story,2003,2008
250000,3,2,10625,1958,936,Somerst,2-Story,2005,2008
263000,3,2,12341,1732,576,Somerst,2-Story,2006,2010
260000,3,2,9231,1522,590,Somerst,1-Story,2005,2010
252000,3,2,10574,1953,1043,Somerst,2-Story,2005,2009
271500,2,2,10440,1468,528,Somerst,1-Story,2005,2010
241000,2,2,8125,1550,438,Somerst,2-Story,2006,2009
205950,3,2,8125,1665,562,Somerst,2-Story,2007,2008
256000,3,2,10625,1660,660,Somerst,1-Story,2007,2008
291000,3,2,10625,1662,711,Somerst,1-Story,2006,2009
263000,4,2,9375,2094,615,Somerst,2-Story,2003,2009
182000,2,2,7500,1221,400,Somerst,1-Story,2004,2009
185000,2,2,7500,1221,400,Somerst,1-Story,2004,2009
234500,3,2,8736,1553,588,Somerst,1-Story,2003,2009
209000,3,2,8127,1653,628,Somerst,2-Story,2003,2009
207500,3,2,8791,1728,673,Somerst,2-Story,2003,2008
260000,2,2,4835,1488,506,Somerst,1-Story,2004,2010
280700,3,2,2880,3005,704,Somerst,2-Story,2004,2009
280750,3,2,2880,3005,704,Somerst,2-Story,2004,2009
196000,2,2,4282,1391,530,Somerst,1-Story,2004,2008
171900,2,2,4017,1250,625,Somerst,2-Story,2006,2008
190000,2,2,3515,1680,588,Somerst,2-Story,2004,2010
178000,1,2,3435,1245,495,Somerst,1-Story,2004,2008
155000,2,2,3215,1200,480,Somerst,2-Story,2004,2008
155000,2,2,3215,1200,480,Somerst,2-Story,2004,2010
151000,2,2,3182,1200,480,Somerst,2-Story,2004,2010
149500,2,2,2544,1200,480,Somerst,2-Story,2004,2010
165000,2,2,3180,1200,480,Somerst,2-Story,2005,2008
155000,2,2,2544,1236,480,Somerst,2-Story,2005,2009
152000,2,2,2544,1236,480,Somerst,2-Story,2005,2010
195000,1,1,4217,1256,641,Somerst,1-Story,2008,2009
172500,3,2,3230,1471,440,Somerst,2-Story,1999,2009
179400,3,2,2280,1501,440,Somerst,2-Story,1999,2008
172900,3,2,2280,1549,440,Somerst,2-Story,1999,2008
300000,2,2,4765,1638,495,Somerst,1-Story,2000,2008
285000,1,1,4538,1310,545,Somerst,1-Story,2001,2008
290000,2,1,4385,1419,588,Somerst,1-Story,2001,2008
264000,1,1,4020,1433,518,Somerst,1-Story,2000,2010
305000,2,2,4109,1557,484,Somerst,1-Story,1999,2008
160000,2,2,2160,1252,462,Somerst,2-Story,1999,2008
170000,3,2,2160,1404,462,Somerst,S/Level,1999,2008
177000,3,2,2160,1404,462,Somerst,2-Story,1999,2010
180000,2,2,2998,1512,440,Somerst,2-Story,2000,2009
168000,3,2,2117,1573,440,Somerst,2-Story,2000,2008
177500,3,2,2117,1573,440,Somerst,2-Story,2000,2010
177000,2,2,2980,1512,440,Somerst,2-Story,2000,2010
155000,3,2,2572,1416,484,Somerst,2-Story,1999,2010
156000,3,2,3768,1452,506,Somerst,2-Story,1999,2009
147110,2,2,2403,1080,496,Somerst,2-Story,2003,2010
223000,3,2,10646,1789,546,Somerst,2-Story,2001,2008
170000,3,2,2645,1586,480,Somerst,2-Story,1999,2008
200000,3,2,2645,1607,480,Somerst,2-Story,1999,2008
345000,2,2,3951,2393,846,Somerst,2-Story,1998,2008
254000,3,2,7379,1848,592,Somerst,2-Story,2000,2010
230000,3,2,8000,1492,596,Somerst,1-Story,2002,2010
205000,3,2,7500,1812,469,Somerst,2-Story,2002,2008
